cp	max_depth	min_split	minbucket	ganancia_promedio
-0.5	5	1000	5	9038667
-0.1	5	1000	5	9038667
-1	5	1000	7	9482667
-0.5	5	1000	7	9482667
-0.1	5	1000	7	9482667
-1	5	1000	9	9892667
-0.5	5	1000	9	9892667
-0.1	5	1000	9	9892667
-1	5	1000	10	9870000
-0.5	5	1000	10	9870000
-0.1	5	1000	10	9870000
-1	5	900	1	8172000
-0.5	5	900	1	8172000
-0.1	5	900	1	8172000
-1	5	900	2	8688000
-0.5	5	900	2	8688000
-0.1	5	900	2	8688000
-1	5	900	4	8815333
-0.5	5	900	4	8815333
-0.1	5	900	4	8815333
-1	5	900	5	8996667
-0.5	5	900	5	8996667
-0.1	5	900	5	8996667
-1	5	900	7	9440667
-0.5	5	900	7	9440667
-0.1	5	900	7	9440667
-1	5	900	9	9850667
-0.5	5	900	9	9850667
-0.1	5	900	9	9850667
-1	5	900	10	9826667
-0.5	5	900	10	9826667
-0.1	5	900	10	9826667
-1	5	800	1	8172000
-0.5	5	800	1	8172000
-0.1	5	800	1	8172000
-1	5	800	2	8687333
-0.5	5	800	2	8687333
-0.1	5	800	2	8687333
-1	5	800	4	8813333
-0.5	5	800	4	8813333
-0.1	5	800	4	8813333
-1	5	800	5	8991333
-0.5	5	800	5	8991333
-0.1	5	800	5	8991333
-1	5	800	7	9437333
-0.5	5	800	7	9437333
-0.1	5	800	7	9437333
-1	5	800	9	9876000
-0.5	5	800	9	9876000
-0.1	5	800	9	9876000
-1	5	800	10	9852000
-0.5	5	800	10	9852000
-0.1	5	800	10	9852000
-1	5	700	1	8172000
-0.5	5	700	1	8172000
-0.1	5	700	1	8172000
-1	5	700	2	8687333
-0.5	5	700	2	8687333
-0.1	5	700	2	8687333
-1	5	700	4	8813333
-0.5	5	700	4	8813333
-0.1	5	700	4	8813333
-1	5	700	5	8991333
-0.5	5	700	5	8991333
-0.1	5	700	5	8991333
-1	5	700	7	9437333
-0.5	5	700	7	9437333
-0.1	5	700	7	9437333
-1	5	700	9	9876000
-0.5	5	700	9	9876000
-0.1	5	700	9	9876000
-1	5	700	10	9871333
-0.5	5	700	10	9871333
-0.1	5	700	10	9871333
-1	5	600	1	8172000
-0.5	5	600	1	8172000
-0.1	5	600	1	8172000
-1	5	600	2	8687333
-0.5	5	600	2	8687333
-0.1	5	600	2	8687333
-1	5	600	4	8811333
-0.5	5	600	4	8811333
-0.1	5	600	4	8811333
-1	5	600	5	8989333
-0.5	5	600	5	8989333
-0.1	5	600	5	8989333
-1	5	600	7	9432667
-0.5	5	600	7	9432667
-0.1	5	600	7	9432667
-1	5	600	9	9871333
-0.5	5	600	9	9871333
-0.1	5	600	9	9871333
-1	5	600	10	9866667
-0.5	5	600	10	9866667
-0.1	5	600	10	9866667
-1	5	400	1	8171333
-0.5	5	400	1	8171333
-0.1	5	400	1	8171333
-1	5	400	2	8686667
-0.5	5	400	2	8686667
-0.1	5	400	2	8686667
-1	5	400	4	8811333
-0.5	5	400	4	8811333
-0.1	5	400	4	8811333
-1	5	400	5	8989333
-0.5	5	400	5	8989333
-0.1	5	400	5	8989333
-1	5	400	7	9431333
-0.5	5	400	7	9431333
-0.1	5	400	7	9431333
